DUA;Item;Fecha;AÒo;Importador;RUC;Regimen;CÛdigo NCM;Aduana;VÌa Transporte;Nombre Transportista;Manifiesto;Conocimiento;Puerto de Embarque;PaÌs de Origen;Pais de Procedencia;Cantidad Comercial;Unidad de Medida;Cant. VF;U.V.F.;Bultos;Tipo de Bulto;U$S FOB;U$S FOB Unit.;U$S CIF;U$S Unitario;U$S Flete;Kgs. Netos;Kgs. Brutos;Proveedor;Marca;DescripciÛn de MercaderÌa;DescripciÛn para Filtro
118-369144;0004;22/09/2021;2021;LINEA PLASTICA PERU S.A.;4  20521679574;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02171-21;SUDU61SSZ117122X;RIO GRANDE;Brasil;Brasil;25;TM;25000;KILOGRAMO;0;No disponible;49065.94;1962.64;51714.43;2068.58;2612.83;25000;25449;BRASKEM SA UNIDADE III POLO PETRO;BRASKEM;POLIPROPILENO COPOLIMERO. BRASKEM. S/M CODIGO: CG 210NA BR25 20 BOLSA DE 1.250KG C/U CG 210NA-POLIPROPILENO-COPO HETEROFASICO;POLIPROPILENO COPOLIMERO. BRASKEM. S/M CODIGO: CG 210NA BR25 20 BOLSA DE 1.250KG C/U CG 210NA-POLIPROPILENO-COPO HETEROFASICO
118-369144;0005;22/09/2021;2021;LINEA PLASTICA PERU S.A.;4  20521679574;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02171-21;SUDU61SSZ117122X;RIO GRANDE;Brasil;Brasil;25;TM;25000;KILOGRAMO;0;No disponible;49065.94;1962.64;51714.43;2068.58;2612.83;25000;25449;BRASKEM SA UNIDADE III POLO PETRO;BRASKEM;POLIPROPILENO COPOLIMERO. BRASKEM. S/M CODIGO: CG 210NA BR25 20 BOLSA DE 1.250KG C/U CG 210NA-POLIPROPILENO-COPO HETEROFASICO;POLIPROPILENO COPOLIMERO. BRASKEM. S/M CODIGO: CG 210NA BR25 20 BOLSA DE 1.250KG C/U CG 210NA-POLIPROPILENO-COPO HETEROFASICO
118-369144;0006;22/09/2021;2021;LINEA PLASTICA PERU S.A.;4  20521679574;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02171-21;SUDU61SSZ117122X;RIO GRANDE;Brasil;Brasil;25;TM;25000;KILOGRAMO;0;No disponible;49065.94;1962.64;51714.43;2068.58;2612.83;25000;25449;BRASKEM SA UNIDADE III POLO PETRO;BRASKEM;POLIPROPILENO COPOLIMERO. BRASKEM. S/M CODIGO: CG 210NA BR25 20 BOLSA DE 1.250KG C/U CG 210NA-POLIPROPILENO-COPO HETEROFASICO;POLIPROPILENO COPOLIMERO. BRASKEM. S/M CODIGO: CG 210NA BR25 20 BOLSA DE 1.250KG C/U CG 210NA-POLIPROPILENO-COPO HETEROFASICO
118-369144;0007;22/09/2021;2021;LINEA PLASTICA PERU S.A.;4  20521679574;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02171-21;SUDU61SSZ117122X;RIO GRANDE;Brasil;Brasil;25;TM;25000;KILOGRAMO;0;No disponible;49065.94;1962.64;51714.43;2068.58;2612.83;25000;25449;BRASKEM SA UNIDADE III POLO PETRO;BRASKEM;POLIPROPILENO COPOLIMERO. BRASKEM. S/M CODIGO: CG 210NA BR25 20 BOLSA DE 1.250KG C/U CG 210NA-POLIPROPILENO-COPO HETEROFASICO;POLIPROPILENO COPOLIMERO. BRASKEM. S/M CODIGO: CG 210NA BR25 20 BOLSA DE 1.250KG C/U CG 210NA-POLIPROPILENO-COPO HETEROFASICO
118-369144;0008;22/09/2021;2021;LINEA PLASTICA PERU S.A.;4  20521679574;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02171-21;SUDU61SSZ117122X;RIO GRANDE;Brasil;Brasil;25;TM;25000;KILOGRAMO;0;No disponible;49065.94;1962.64;51714.43;2068.58;2612.83;25000;25449;BRASKEM SA UNIDADE III POLO PETRO;BRASKEM;POLIPROPILENO COPOLIMERO. BRASKEM. S/M CODIGO: CG 210NA BR25 20 BOLSA DE 1.250KG C/U CG 210NA-POLIPROPILENO-COPO HETEROFASICO;POLIPROPILENO COPOLIMERO. BRASKEM. S/M CODIGO: CG 210NA BR25 20 BOLSA DE 1.250KG C/U CG 210NA-POLIPROPILENO-COPO HETEROFASICO
118-369144;0009;22/09/2021;2021;LINEA PLASTICA PERU S.A.;4  20521679574;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02171-21;SUDU61SSZ117122X;RIO GRANDE;Brasil;Brasil;25;TM;25000;KILOGRAMO;0;No disponible;49065.94;1962.64;51714.43;2068.58;2612.83;25000;25449;BRASKEM SA UNIDADE III POLO PETRO;BRASKEM;POLIPROPILENO COPOLIMERO. BRASKEM. S/M CODIGO: CG 210NA BR25 20 BOLSA DE 1.250KG C/U CG 210NA-POLIPROPILENO-COPO HETEROFASICO;POLIPROPILENO COPOLIMERO. BRASKEM. S/M CODIGO: CG 210NA BR25 20 BOLSA DE 1.250KG C/U CG 210NA-POLIPROPILENO-COPO HETEROFASICO
118-369144;0010;22/09/2021;2021;LINEA PLASTICA PERU S.A.;4  20521679574;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02171-21;SUDU61SSZ117122X;RIO GRANDE;Brasil;Brasil;25;TM;25000;KILOGRAMO;0;No disponible;49065.94;1962.64;51714.43;2068.58;2612.83;25000;25449;BRASKEM SA UNIDADE III POLO PETRO;BRASKEM;POLIPROPILENO COPOLIMERO. BRASKEM. S/M CODIGO: CG 210NA BR25 20 BOLSA DE 1.250KG C/U CG 210NA-POLIPROPILENO-COPO HETEROFASICO;POLIPROPILENO COPOLIMERO. BRASKEM. S/M CODIGO: CG 210NA BR25 20 BOLSA DE 1.250KG C/U CG 210NA-POLIPROPILENO-COPO HETEROFASICO
118-370332;0001;23/09/2021;2021;XIMESA S.A.C.;4  20125508716;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;COSCO SHIPPING LINES (PER;02149-21;EGLV040100408957;KRZZA;Corea del Sur;Estados Unidos;22.5;TM;22500;KILOGRAMO;0;No disponible;26422.48;1174.33;37350;1660;10920;22500;22900;LG CHEM. LTD.;LG CHEM;POLIPROPILENO COPOLIMERO LG CHEM M1650 900 BOLSAS DE 25 KG C/U POLIPROPILENO - INYECCION. FABRICACION DE ARTICULOS DE PLASTICO PP M1650 ETHYLENE PROPYLENE COPOLYMER  -  LOTES NO. C106074M;POLIPROPILENO COPOLIMERO LG CHEM M1650 900 BOLSAS DE 25 KG C/U POLIPROPILENO - INYECCION. FABRICACION DE ARTICULOS DE PLASTICO PP M1650 ETHYLENE PROPYLENE COPOLYMER  -  LOTES NO. C106074M
118-370483;0001;23/09/2021;2021;POLINPLAST S.A.C.;4  20505520638;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;02157-21;MEDUDM304876;No disponible;Arabia Saudi;Estados Unidos;127.5;TM;127500;KILOGRAMO;0;No disponible;185510;1454.98;198131.91;1553.98;12365;127500;128970;SABIC AMERICAS INC.  2500 CITY WEST BOULEVARD  SUI;SABIC;POLIPROPILENO. SABIC. S/M POLIPROPILENO EN BOLSAS DE 25KG PP 519A;POLIPROPILENO. SABIC. S/M POLIPROPILENO EN BOLSAS DE 25KG PP 519A
118-370627;0001;23/09/2021;2021;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;MERCATOR PERU - OPERADOR;02190-21;HLCUSHA2107BJJE7;SHANGHAI;China;Francia;26;TM;26000;KILOGRAMO;0;No disponible;34446;1324.85;43951.57;1690.45;9075;26000;26550;HONGKONG TOPWAY TRADING CO.. LTD.;ARAMCO;COPOLIMERO DE PROPILENO. ARAMCO. CP245NK REF : CP245NK SON : 1040 SACOS DE 25 KG CADA UNO / USO: INDUSTRIAL POLYPROPYLENE COPOLYMER INJECTION ARAMCO CP245NK;COPOLIMERO DE PROPILENO. ARAMCO. CP245NK REF : CP245NK SON : 1040 SACOS DE 25 KG CADA UNO / USO: INDUSTRIAL POLYPROPYLENE COPOLYMER INJECTION ARAMCO CP245NK
118-370705;0001;23/09/2021;2021;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;MERCATOR PERU - OPERADOR;02190-21;HLCUSHA2107BCGI5;SHANGHAI;China;Francia;78;TM;78000;KILOGRAMO;0;No disponible;100338;1286.38;131817.22;1689.96;30225;78000;79560;HONGKONG TOPWAY TRADING CO.. LTD.;ARAMCO;COPOLIMERO DE POLIPROPILENO. ARAMCO. CP160NK REF : CP160NK SON : 3120 SACOS DE 25 KG CADA UNO / USO: INDUSTRIAL POLYPROPYLENE COPOLYMER INJECTION ARAMCO CP160NK;COPOLIMERO DE POLIPROPILENO. ARAMCO. CP160NK REF : CP160NK SON : 3120 SACOS DE 25 KG CADA UNO / USO: INDUSTRIAL POLYPROPYLENE COPOLYMER INJECTION ARAMCO CP160NK
118-371068;0001;23/09/2021;2021;OPP FILM S.A.;4  20502351908;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRANSTOTAL AGENCIA MARITI;01934-21;035BX49076;LAEM CHABANG;Tailandia;BÈlgica;120;TM;120000;KILOGRAMO;0;No disponible;186100;1550.83;234698.32;1955.82;48500;120000;122770;HMC POLYMERS CO.. LTD.;CRYRELL;POLIPROPILENO COPOLIMERO. CRYRELL. S/M POLIPROPILENO COPOLIMERO RC-213M  POLIPROPILENO (PP) COPOLIMERO RANDOM GRADO: RC213M. FILM. MFI: 10;POLIPROPILENO COPOLIMERO. CRYRELL. S/M POLIPROPILENO COPOLIMERO RC-213M  POLIPROPILENO (PP) COPOLIMERO RANDOM GRADO: RC213M. FILM. MFI: 10
118-371078;0001;23/09/2021;2021;OPP FILM S.A.;4  20502351908;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;COSCO SHIPPING LINES (PER;02149-21;035BX47817;LAEM CHABANG;Tailandia;BÈlgica;96;TM;96000;KILOGRAMO;0;No disponible;150800;1570.83;189679.46;1975.83;38800;96000;97380;HMC POLYMERS CO.. LTD.;CRYRELL;POLIPROPILENO COPOLIMERO. CRYRELL. S/M POLIPROPILENO COPOLIMERO RC-2472  POLIPROPILENO (PP) COPOLIMERO RANDOM GRADO: RC 2472. FILM. MFI: 7;POLIPROPILENO COPOLIMERO. CRYRELL. S/M POLIPROPILENO COPOLIMERO RC-2472  POLIPROPILENO (PP) COPOLIMERO RANDOM GRADO: RC 2472. FILM. MFI: 7
118-371079;0001;23/09/2021;2021;OPP FILM S.A.;4  20502351908;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRANSTOTAL AGENCIA MARITI;01934-21;035BX46238;LAEM CHABANG;Tailandia;BÈlgica;120;TM;120000;KILOGRAMO;0;No disponible;184900;1540.83;233497.82;1945.82;48500;120000;121500;HMC POLYMERS CO.. LTD.;CLYRELL;POLIPROPILENO TERPOLIMERO. CLYRELL. S/M POLIPROPILENO TERPOLIMERO RC221M MAQUINA BRUCKNER - UTILIZADOS EN UNAS CAPAS DE PELICULA EN POLIPROPILENO COEXTRUIDO POLIPROPILENO TERPOLIMERO GRADO: RC221M. FILM. MFI: 7;POLIPROPILENO TERPOLIMERO. CLYRELL. S/M POLIPROPILENO TERPOLIMERO RC221M MAQUINA BRUCKNER - UTILIZADOS EN UNAS CAPAS DE PELICULA EN POLIPROPILENO COEXTRUIDO POLIPROPILENO TERPOLIMERO GRADO: RC221M. FI
118-371338;0001;24/09/2021;2021;POLINPLAST S.A.C.;4  20505520638;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;02157-21;MEDUDM323777;No disponible;Arabia Saudi;Estados Unidos;204;TM;204000;KILOGRAMO;0;No disponible;316944;1553.65;337437.58;1654.11;20056;204000;207100;SAUDI BASIC INDUSTRIES CORPORATION  SABIC;SABIC;POLIPROPILENO. SABIC. S/M POLIPROPILENO EN BOLSAS DE 25KG PP QR6711K 149;POLIPROPILENO. SABIC. S/M POLIPROPILENO EN BOLSAS DE 25KG PP QR6711K 149
118-371675;0001;24/09/2021;2021;INDUSTRIAS DEL ENVASE S A;4  20100004322;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;02157-21;MEDUDM314768;JUBAIL;Arabia Saudi;Arabia Saudi;102;TM;102000;KILOGRAMO;0;No disponible;162658.38;1594.69;172858.69;1694.69;10027.62;102000;102960;SAUDI BASIC INDUSTRIES CORPORATION  SABIC  P.O. BO;SABIC;POLIPROPILENO COPOLIMORO. SABIC. PP 57MNK10 149 ENVASADO DE BOLSAS DE 25 KG MATERIAL POLIPROPILANO POLIPROPILENO COPOLIMORO PARA INYECCION DE ENVASES PLASTICOS.PP 57MNK10 149;POLIPROPILENO COPOLIMORO. SABIC. PP 57MNK10 149 ENVASADO DE BOLSAS DE 25 KG MATERIAL POLIPROPILANO POLIPROPILENO COPOLIMORO PARA INYECCION DE ENVASES PLASTICOS.PP 57MNK10 149
118-372605;0001;24/09/2021;2021;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;02250-21;MEDUAD212778;ABU DHABI;Emiratos ¡rabes Unidos;Austria;24.75;TM;24750;KILOGRAMO;0;No disponible;37376.5;1510.16;41354.7;1670.9;3511;24750;25280;BOROUGE PTE LTD;BOREALIS;COPOLIMERO DE PROPILENO. BOREALIS. BJ368MO REF : 2800184909 SON : 990 SACOS DE 25 KG CADA UNO / USO: INDUSTRIAL BJ368MO BOROUGE BAG PROPYLENE COPOLYMER;COPOLIMERO DE PROPILENO. BOREALIS. BJ368MO REF : 2800184909 SON : 990 SACOS DE 25 KG CADA UNO / USO: INDUSTRIAL BJ368MO BOROUGE BAG PROPYLENE COPOLYMER
118-372908;0001;24/09/2021;2021;XIMESA S.A.C.;4  20125508716;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;COSCO SHIPPING LINES (PER;02149-21;EGLV040100408949;KRZZA;Corea del Sur;Estados Unidos;45;TM;45000;KILOGRAMO;0;No disponible;52844.94;1174.33;74700;1660;21840;45000;45830;LG CHEM. LTD.;LG CHEM;POLIPROPILENO COPOLIMERO LG CHEM M1650 1800 SACOS DE 25KG C/U. DE POLIPROPILENO INYECCION. FABRICACION DE ARTICULOS DE PLASTICO PP M1650 LOTE NO. C106067M;POLIPROPILENO COPOLIMERO LG CHEM M1650 1800 SACOS DE 25KG C/U. DE POLIPROPILENO INYECCION. FABRICACION DE ARTICULOS DE PLASTICO PP M1650 LOTE NO. C106067M
118-373146;0001;25/09/2021;2021;OPP FILM S.A.;4  20502351908;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;02250-21;MEDUU0517075;NORFOLK;Estados Unidos;Estados Unidos;25.5;TM;25500;KILOGRAMO;0;No disponible;63710;2498.43;65052.25;2551.07;1315;25500;26030;EXXONMOBIL CHEMICAL COMPANY;VISTAMAXX;COPOLIMERO DE POLIPROPILENO, VISTAMAXX, 3588FL COPOLIMERO DE POLIPROPILENO VISTAMAXX 3588FL  VISTAMAXX 3588FL 5231060;COPOLIMERO DE POLIPROPILENO, VISTAMAXX, 3588FL COPOLIMERO DE POLIPROPILENO VISTAMAXX 3588FL  VISTAMAXX 3588FL 5231060
118-373646;0001;27/09/2021;2021;OPP FILM S.A.;4  20502351908;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;AGENCIA COLUMBUS S.A.C.;02262-21;MAEU608574372;ANTWERPEN;Francia;Reino Unido;99;TM;99000;KILOGRAMO;0;No disponible;189404.72;1913.18;194388.48;1963.52;4902.33;99000;101475;INEOS DERIVATIVES FRANCE LTD;ELTEX;COPOLIMERO DE POLIPROPILENO. ELTEX. KS407HP X 25 KG PE BAGS ON 72 X 1375 KG PALLETS COPOLIMERO DE POLIPROPILENO PP COPOLYMER: ELTEX P KS407 HP IN 3960 EN FORMAS BASICAS;COPOLIMERO DE POLIPROPILENO. ELTEX. KS407HP X 25 KG PE BAGS ON 72 X 1375 KG PALLETS COPOLIMERO DE POLIPROPILENO PP COPOLYMER: ELTEX P KS407 HP IN 3960 EN FORMAS BASICAS
118-374505;0001;27/09/2021;2021;SURPACK S.A.;4  20122720650;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;AGENCIA COLUMBUS S.A.C.;02265-21;SUDUN1SHA069372A;SHANGHAI;China;Singapur;104;TM;104000;KILOGRAMO;0;No disponible;152960;1470.77;187030.31;1798.37;33940;104000;104680;ITOCHU PLASTICS PTE LTD 9 RAFFLES;S/M;POLIPROPILENO COPOLIMERO. S/M. S/M EN 4160 BOLSAS POLYPROPYLENE. PP COPOLYMER GRADE CNOOC & SHELL EP300H-Z POLIPROPILENO COPOLIMERO -;POLIPROPILENO COPOLIMERO. S/M. S/M EN 4160 BOLSAS POLYPROPYLENE. PP COPOLYMER GRADE CNOOC & SHELL EP300H-Z POLIPROPILENO COPOLIMERO -
118-375363;0001;28/09/2021;2021;LINEA PLASTICA PERU S.A.;4  20521679574;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02196-21;HLCURI4210826730;SANTOS;Brasil;Brasil;25;TM;25000;KILOGRAMO;0;No disponible;52068.84;2082.75;53531.75;2141.27;1426;25000;25570;BRASKEM S.A.;BRASKEM;POLIPROPILENO COPOLIMERO. BRASKEM. S/M CODIGO CG600NA BR25 20 BOLSAS CON 1.250KG CG600NA-POLIPROPILENO COPO  HETEROFASICO;POLIPROPILENO COPOLIMERO. BRASKEM. S/M CODIGO CG600NA BR25 20 BOLSAS CON 1.250KG CG600NA-POLIPROPILENO COPO  HETEROFASICO
118-375619;0001;28/09/2021;2021;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;MERCATOR PERU - OPERADOR;02191-21;HLCUNG12107VMHK3;NINGBO;China;Francia;26;TM;26000;KILOGRAMO;0;No disponible;34446;1324.85;43951.57;1690.45;9075;26000;26590;HONGKONG TOPWAY TRADING CO.. LTD.;ARAMCO;COPOLIMERO DE POLIPROPILENO. ARAMCO. CP245NK REF : CP245NK SON : 1040 SACOS DE 25 KG CADA UNO / USO: INDUSTRIAL POLYPROPYLENE COPOLYMER INJECTION ARAMCO CP245NK;COPOLIMERO DE POLIPROPILENO. ARAMCO. CP245NK REF : CP245NK SON : 1040 SACOS DE 25 KG CADA UNO / USO: INDUSTRIAL POLYPROPYLENE COPOLYMER INJECTION ARAMCO CP245NK
118-375655;0001;28/09/2021;2021;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;MERCATOR PERU - OPERADOR;02191-21;HLCUNG12107VNIJ0;NINGBO;China;Francia;27;TM;27000;KILOGRAMO;0;No disponible;35117;1300.63;45630.96;1690.04;10075;27000;27140;HONGKONG TOPWAY TRADING CO.. LTD.;SUMITOMO CHEMICAL ASIA;COPOLIMERO DE PROPILENO. SUMITOMO CHEMICAL ASIA. AZ564 REF : AZ564 SON : 1080 SACOS DE 25 KG CADA UNO / USO: INDUSTRIAL PP COPO SUMITOMO CHEMICAL ASIA AZ564;COPOLIMERO DE PROPILENO. SUMITOMO CHEMICAL ASIA. AZ564 REF : AZ564 SON : 1080 SACOS DE 25 KG CADA UNO / USO: INDUSTRIAL PP COPO SUMITOMO CHEMICAL ASIA AZ564
118-376233;0001;29/09/2021;2021;INDUSTRIAS DEL ENVASE S A;4  20100004322;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;AGENCIA COLUMBUS S.A.C.;02265-21;SUDUN1062B2R1023;No disponible;Corea del Sur;Estados Unidos;220;TM;220000;KILOGRAMO;0;No disponible;258770;1176.23;356757.3;1621.62;97630;220000;224200;TAEWOONG LOGISTICS 13-6 TEHERAN-R;LOTTE;POLIPROPILENO COPOLIMERO. LOTTE. JM-350 220 MT OF PP LOTTE JM-350 POLIPROPILENO PARA INYECCION POLIPROPILENO COPOLIMERO 8800 BAG;POLIPROPILENO COPOLIMERO. LOTTE. JM-350 220 MT OF PP LOTTE JM-350 POLIPROPILENO PARA INYECCION POLIPROPILENO COPOLIMERO 8800 BAG
118-376830;0001;29/09/2021;2021;INDUSTRIAS DEL ENVASE S A;4  20100004322;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;AGENCIA COLUMBUS S.A.C.;02265-21;MAEUR03917561;No disponible;Arabia Saudi;Arabia Saudi;24;TM;24000;KILOGRAMO;0;No disponible;39657.08;1652.38;40966.77;1706.95;1268.92;24000;24565;SABIC AMERICAS INC.. C/O SAUDI BASIC INDUSTRIES CO;SABIC;POLIPROPILENO COPOLIMORO. SABIC. PP 57MNK10 149 ENVASADO DE BOLSAS DE 25 KG PARA INYECCION DE ENVASES PLASTICOS PP 57MNK10 149 - POLIPROPILENO COPOLIMORO MATERIAL POLIPROPILENO;POLIPROPILENO COPOLIMORO. SABIC. PP 57MNK10 149 ENVASADO DE BOLSAS DE 25 KG PARA INYECCION DE ENVASES PLASTICOS PP 57MNK10 149 - POLIPROPILENO COPOLIMORO MATERIAL POLIPROPILENO
118-376831;0001;29/09/2021;2021;POLINPLAST S.A.C.;4  20505520638;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;AGENCIA COLUMBUS S.A.C.;02265-21;MAEUR03912419;No disponible;Arabia Saudi;Estados Unidos;48;TM;48000;KILOGRAMO;0;No disponible;74740;1557.08;76939.84;1602.91;2100;48000;48810;SABIC AMERICAS INC.;SABIC;POLIPROPILENO. SABIC. S/M POLIPROPILENO EN BOLSAS DE 25KG PP 57MNK10 149;POLIPROPILENO. SABIC. S/M POLIPROPILENO EN BOLSAS DE 25KG PP 57MNK10 149
118-376851;0001;29/09/2021;2021;INDUSTRIAS DEL ENVASE S A;4  20100004322;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02196-21;SUDU61SSZ117944X;SANTOS;Brasil;Brasil;24.75;TM;24750;KILOGRAMO;0;No disponible;42090.95;1700.64;44829.9;1811.31;2694.17;24750;25162.5;BRASKEM SA AVENIDA WAGNER SAMARA.;BRASKEM;POLIPROPILENO COPOLIMERO BRASKEM EP 440N PL14 MATERIAL POLIPROPILENO PARA INYECCION DE ENVASES PLASTICOS ENVASADO EN BOLSAS DE 25 KILOS EP 440N-POLIPROPILENO COPOLIMERO HETEROFASICO;POLIPROPILENO COPOLIMERO BRASKEM EP 440N PL14 MATERIAL POLIPROPILENO PARA INYECCION DE ENVASES PLASTICOS ENVASADO EN BOLSAS DE 25 KILOS EP 440N-POLIPROPILENO COPOLIMERO HETEROFASICO
118-376851;0002;29/09/2021;2021;INDUSTRIAS DEL ENVASE S A;4  20100004322;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02196-21;SUDU61SSZ117944X;SANTOS;Brasil;Brasil;24.75;TM;24750;KILOGRAMO;0;No disponible;42090.95;1700.64;44829.9;1811.31;2694.17;24750;25162.5;BRASKEM SA AVENIDA WAGNER SAMARA.;BRASKEM;POLIPROPILENO COPOLIMERO BRASKEM EP 440N PL14 MATERIAL POLIPROPILENO PARA INYECCION DE ENVASES PLASTICOS ENVASADO EN BOLSAS DE 25 KILOS EP 440N-POLIPROPILENO COPOLIMERO HETEROFASICO;POLIPROPILENO COPOLIMERO BRASKEM EP 440N PL14 MATERIAL POLIPROPILENO PARA INYECCION DE ENVASES PLASTICOS ENVASADO EN BOLSAS DE 25 KILOS EP 440N-POLIPROPILENO COPOLIMERO HETEROFASICO
118-376851;0003;29/09/2021;2021;INDUSTRIAS DEL ENVASE S A;4  20100004322;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02196-21;SUDU61SSZ117944X;SANTOS;Brasil;Brasil;24.75;TM;24750;KILOGRAMO;0;No disponible;42090.95;1700.64;44829.9;1811.31;2694.17;24750;25162.5;BRASKEM SA AVENIDA WAGNER SAMARA.;BRASKEM;POLIPROPILENO COPOLIMERO BRASKEM EP 440N PL14 MATERIAL POLIPROPILENO PARA INYECCION DE ENVASES PLASTICOS ENVASADO EN BOLSAS DE 25 KILOS EP 440N-POLIPROPILENO COPOLIMERO HETEROFASICO;POLIPROPILENO COPOLIMERO BRASKEM EP 440N PL14 MATERIAL POLIPROPILENO PARA INYECCION DE ENVASES PLASTICOS ENVASADO EN BOLSAS DE 25 KILOS EP 440N-POLIPROPILENO COPOLIMERO HETEROFASICO
118-376851;0004;29/09/2021;2021;INDUSTRIAS DEL ENVASE S A;4  20100004322;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02196-21;SUDU61SSZ117944X;SANTOS;Brasil;Brasil;24.75;TM;24750;KILOGRAMO;0;No disponible;42090.95;1700.64;44829.9;1811.31;2694.17;24750;25162.5;BRASKEM SA AVENIDA WAGNER SAMARA.;BRASKEM;POLIPROPILENO COPOLIMERO BRASKEM EP 440N PL14 MATERIAL POLIPROPILENO PARA INYECCION DE ENVASES PLASTICOS ENVASADO EN BOLSAS DE 25 KILOS EP 440N-POLIPROPILENO COPOLIMERO HETEROFASICO;POLIPROPILENO COPOLIMERO BRASKEM EP 440N PL14 MATERIAL POLIPROPILENO PARA INYECCION DE ENVASES PLASTICOS ENVASADO EN BOLSAS DE 25 KILOS EP 440N-POLIPROPILENO COPOLIMERO HETEROFASICO
118-376851;0005;29/09/2021;2021;INDUSTRIAS DEL ENVASE S A;4  20100004322;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02196-21;SUDU61SSZ117944X;SANTOS;Brasil;Brasil;24.75;TM;24750;KILOGRAMO;0;No disponible;42090.95;1700.64;44829.9;1811.31;2694.17;24750;25162.5;BRASKEM SA AVENIDA WAGNER SAMARA.;BRASKEM;POLIPROPILENO COPOLIMERO BRASKEM EP 440N PL14 MATERIAL POLIPROPILENO PARA INYECCION DE ENVASES PLASTICOS ENVASADO EN BOLSAS DE 25 KILOS EP 440N-POLIPROPILENO COPOLIMERO HETEROFASICO;POLIPROPILENO COPOLIMERO BRASKEM EP 440N PL14 MATERIAL POLIPROPILENO PARA INYECCION DE ENVASES PLASTICOS ENVASADO EN BOLSAS DE 25 KILOS EP 440N-POLIPROPILENO COPOLIMERO HETEROFASICO
