DUA;Item;Fecha;A駉;Importador;RUC;Regimen;C骴igo NCM;Aduana;V韆 Transporte;Nombre Transportista;Manifiesto;Conocimiento;Puerto de Embarque;Pa韘 de Origen;Pais de Procedencia;Cantidad Comercial;Unidad de Medida;Cant. VF;U.V.F.;Bultos;Tipo de Bulto;U$S FOB;U$S FOB Unit.;U$S CIF;U$S Unitario;U$S Flete;Kgs. Netos;Kgs. Brutos;Proveedor;Marca;Descripci髇 de Mercader韆;Descripci髇 para Filtro
118-144432;0001;20/04/2022;2022;FITESA PERU S.A.C.;4  20451558383;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;MAERSK LINE PERU S.A.C.;00890-22;MAEUR04566485;No disponible;Arabia Saudi;Estados Unidos;88;TM;88000;KILOGRAMO;0;No disponible;134322.84;1526.4;141674.08;1609.93;4368.32;88000;89780;SABIC AMERICAS INC.C O SAUDI BASIC INDUSTRIES CORP;S/M;POLIPROPILENO S/M S/M POLIPROPILENO USO INDUSTRIAL PP 519A 148 64 PALETAS DE 55 SACOS C/U = 3520 SACOS DE 25KG C/U;POLIPROPILENO S/M S/M POLIPROPILENO USO INDUSTRIAL PP 519A 148 64 PALETAS DE 55 SACOS C/U = 3520 SACOS DE 25KG C/U
118-145591;0001;21/04/2022;2022;SYRUS DISTRIBUTION PERU S.A.C.;4  20603490372;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;00884-22;SUDU62SSZ020009X;SANTOS;Brasil;Uruguay;99;TM;99000;KILOGRAMO;0;No disponible;161522.24;1631.54;182501.99;1843.45;20771.18;99000;101470;BRASKEM SA AVENIDA WAGNER SAMARA;BRASKEM;POLIPROPILENO HOMOPOLIMERO, BRASKEM, S/M EN 3960 BAGS DE 25 KG C/U  POLYPROPYLENE HOMOPOLYMER H103;POLIPROPILENO HOMOPOLIMERO, BRASKEM, S/M EN 3960 BAGS DE 25 KG C/U  POLYPROPYLENE HOMOPOLYMER H103
118-146261;0001;21/04/2022;2022;YNG S.A.C.;4  20481059713;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;00885-22;SUDU62SSZ020580X;RIO GRANDE;Brasil;Brasil;24.75;TM;24750;KILOGRAMO;0;No disponible;39391;1591.56;45370.46;1833.15;5487.07;24750;25305;BRASKEM SA BR 386 ROD TABAI CANOA;S/M;HOMOPOLIMEROS,S/M,S/M, PH 0130- POLIPROPILENO HOMOPOLIMERO PRODUCTO QUIMICO PARA LA INDUSTRIA POLIPROPILENO HOMOPOLIMERO;HOMOPOLIMEROS,S/M,S/M, PH 0130- POLIPROPILENO HOMOPOLIMERO PRODUCTO QUIMICO PARA LA INDUSTRIA POLIPROPILENO HOMOPOLIMERO
118-146261;0002;21/04/2022;2022;YNG S.A.C.;4  20481059713;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;00885-22;SUDU62SSZ020580X;RIO GRANDE;Brasil;Brasil;24.75;TM;24750;KILOGRAMO;0;No disponible;39391;1591.56;45370.46;1833.15;5487.07;24750;25305;BRASKEM SA BR 386 ROD TABAI CANOA;S/M;HOMOPOLIMEROS,S/M,S/M, PH 0130- POLIPROPILENO HOMOPOLIMERO PRODUCTO QUIMICO PARA LA INDUSTRIA POLIPROPILENO HOMOPOLIMERO;HOMOPOLIMEROS,S/M,S/M, PH 0130- POLIPROPILENO HOMOPOLIMERO PRODUCTO QUIMICO PARA LA INDUSTRIA POLIPROPILENO HOMOPOLIMERO
118-146264;0001;21/04/2022;2022;DISPERCOL S A;4  20100064490;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;00884-22;HLCUEUR220328139;SANTOS;Brasil;Brasil;49.5;TM;49500;KILOGRAMO;0;No disponible;78934.89;1594.64;89038.25;1798.75;10090;49500;51232.5;BRASKEM S.A;BRASKEM;RESINA PLASTICA. BRASKEM. S/M BOLSAS DE 25 KG USO INDUSTRIAL POLIPROPILENO H 603;RESINA PLASTICA. BRASKEM. S/M BOLSAS DE 25 KG USO INDUSTRIAL POLIPROPILENO H 603
118-147302;0001;22/04/2022;2022;XIMESA S.A.C.;4  20125508716;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;MAERSK LINE PERU S.A.C.;00890-22;SEAU217010452;HOUSTON;Estados Unidos;Estados Unidos;49.5;TM;49500;KILOGRAMO;0;No disponible;82638;1669.45;87222.92;1762.08;4537;49500;50470;BRASKEM AMERICA. INC.;BRASKEM;POLIPROPILENO COPOLIMERO. BRASKEM. D5001-80 DEV EN BOLSAS DE 25 KG PARA INYECCION DE ARTICULOS DE PLASTICO D5001-80-DEV-POLYPROPYLENE COPO RANDOM DE POLIPROPILENO;POLIPROPILENO COPOLIMERO. BRASKEM. D5001-80 DEV EN BOLSAS DE 25 KG PARA INYECCION DE ARTICULOS DE PLASTICO D5001-80-DEV-POLYPROPYLENE COPO RANDOM DE POLIPROPILENO
118-147345;0001;22/04/2022;2022;POLIMIQ DEL PERU S.A.C.;4  20500269732;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;MAERSK LINE PERU S.A.C.;00890-22;MAEUR04500126;JEDDAH;Arabia Saudi;Estados Unidos;72;TM;72000;KILOGRAMO;0;No disponible;126874.04;1762.14;129850.52;1803.48;2820.96;72000;73440;SABIC AMERICAS INC.C O SAUDI BASIC INDUSTRIES CORP;SABIC;POLIPROPILENO, SABIC, S/M SALES REF. 4100100/0010 GRADO: PP 506P PP 506P 149;POLIPROPILENO, SABIC, S/M SALES REF. 4100100/0010 GRADO: PP 506P PP 506P 149
118-147657;0001;22/04/2022;2022;NORSAC SA.;4  20125625780;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;00973-22;CLSCL0000004023;SAN VICENTE;Chile;Chile;51000;KG;51000;KILOGRAMO;0;No disponible;82440;1.62;93170.5;1.83;9700;51000;51706.66;PETROQUIM SA;PETROQUIM;POLIPROPILENO HOMOPOLIMERO DE 0,905 +/- 0,005 G/CC, PARA PROCESOS DE EXTRUSION DE RAFIA DE ALTA VELOCIDAD PH0322 SANITIZADO EXCELENTE DESEMPENO EN EXTRUSION Y TEJEDURIA, MINIMIZANDO LA FORMACION DE POLVO Y PELUSAS PETROQUIM;POLIPROPILENO HOMOPOLIMERO DE 0,905 +/- 0,005 G/CC, PARA PROCESOS DE EXTRUSION DE RAFIA DE ALTA VELOCIDAD PH0322 SANITIZADO EXCELENTE DESEMPENO EN EXTRUSION Y TEJEDURIA, MINIMIZANDO LA FORMACION DE PO
118-147657;0002;22/04/2022;2022;NORSAC SA.;4  20125625780;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;00973-22;CLSCL0000004023;SAN VICENTE;Chile;Chile;25500;KG;25500;KILOGRAMO;0;No disponible;41220;1.62;46585.25;1.83;4850;25500;25853.33;PETROQUIM SA;PETROQUIM;POLIPROPILENO HOMOPOLIMERO DE 0,905 +/- 0,005 G/CC, PARA PROCESOS DE EXTRUSION DE RAFIA DE ALTA VELOCIDAD PH4040 SANITIZADO BUENA PROCESABILIDAD Y PRODUCTIVIDAD, TANTO EN EXTRUSION COMO EN TELARES PETROQUIM;POLIPROPILENO HOMOPOLIMERO DE 0,905 +/- 0,005 G/CC, PARA PROCESOS DE EXTRUSION DE RAFIA DE ALTA VELOCIDAD PH4040 SANITIZADO BUENA PROCESABILIDAD Y PRODUCTIVIDAD, TANTO EN EXTRUSION COMO EN TELARES PET
118-147732;0001;22/04/2022;2022;CHANNEL PRIME ALLIANCE DE PERU S.A.C.;4  20545537738;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;MAERSK LINE PERU S.A.C.;00890-22;MAEU913960059;TIANJINXINGANG;China;Estados Unidos;52000;KG;52000;KILOGRAMO;0;No disponible;61217.86;1.18;84760;1.63;23073.63;52000;52630;ZHEJIANG MINGRI HOLDINGS GROUP CO., LTD.;SHENSHUA;POLIPROPILENO  HOMOPOLIMERO, SHENSHUA, L5E89 PP HOMO L5E89 POLIPROPILENO HOMOPOLIMERO FABRICACION DE PLASTICO POLIPROPILENO  HOMOPOLIMERO;POLIPROPILENO  HOMOPOLIMERO, SHENSHUA, L5E89 PP HOMO L5E89 POLIPROPILENO HOMOPOLIMERO FABRICACION DE PLASTICO POLIPROPILENO  HOMOPOLIMERO
118-148100;0001;22/04/2022;2022;DISPERCOL S A;4  20100064490;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;00884-22;SUDU62SSZ019999X;SANTOS;Brasil;Brasil;24.75;TM;24750;KILOGRAMO;0;No disponible;39342.05;1589.58;44642.92;1803.75;5294.18;24750;25195.5;BRASKEM SA AVENIDA WAGNER SAMARA;BRASKEM;RESINA PLASTIC. BRASKEM. S/M BOLSAS DE 25 KG USO INDUSTRIAL POLIPROPILENO H 503;RESINA PLASTIC. BRASKEM. S/M BOLSAS DE 25 KG USO INDUSTRIAL POLIPROPILENO H 503
118-148100;0002;22/04/2022;2022;DISPERCOL S A;4  20100064490;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;00884-22;SUDU62SSZ020003X;SANTOS;Brasil;Brasil;24.75;TM;24750;KILOGRAMO;0;No disponible;39342.05;1589.58;44642.92;1803.75;5294.18;24750;25195.5;BRASKEM SA AVENIDA WAGNER SAMARA;BRASKEM;RESINA PLASTICA. BRASKEM. S/M BOLSAS DE 25 KG USO INDUSTRIAL POLIPROPILENO H 202HC;RESINA PLASTICA. BRASKEM. S/M BOLSAS DE 25 KG USO INDUSTRIAL POLIPROPILENO H 202HC
118-148337;0001;22/04/2022;2022;PERUANA DE MOLDEADOS S.A.C.;4  20251995967;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;00973-22;7025-0464-204.012;SAN VICENTE;Chile;Chile;25500;KG;25500;KILOGRAMO;0;No disponible;39410;1.55;43930.18;1.72;4450;25500;25820;PETROQUIM SA;PETROQUIM;POLIPROPILENO HOMOPOLIMERO, PETROQUIM, S/M PH0130-P1500 SANITIZADO 1020 BOLSAS X 25 KG POLIPROPILENO HOMOPOLIMERO LOTE: L-889;POLIPROPILENO HOMOPOLIMERO, PETROQUIM, S/M PH0130-P1500 SANITIZADO 1020 BOLSAS X 25 KG POLIPROPILENO HOMOPOLIMERO LOTE: L-889
118-148385;0001;22/04/2022;2022;FAFIPLAST S.A.C.;4  20503463823;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;00973-22;7025-0464-203.013;SAN VICENTE;Chile;Chile;51000;KG;51000;KILOGRAMO;0;No disponible;80935;1.59;90689.32;1.78;9590;51000;51850;PETROQUIM SA;PETROQUIM;POLIPROPILENO HOMOPOLIMERO PETROQUIM S/M PH0954-P1500 PARA FABRICACION DE BOLSAS DE POLIPROPILENO SANITIZADO POLIPROPILENO HOMOPOLIMERO;POLIPROPILENO HOMOPOLIMERO PETROQUIM S/M PH0954-P1500 PARA FABRICACION DE BOLSAS DE POLIPROPILENO SANITIZADO POLIPROPILENO HOMOPOLIMERO
118-148413;0001;22/04/2022;2022;PLASTICOS FENIX EIRL;4  20522086704;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;00908-22;CNCM2203007;KRZZA;Corea del Sur;Estados Unidos;88;TM;88000;KILOGRAMO;0;No disponible;122400;1390.91;167367.2;1901.9;44800;88000;88352;POLYMER CHEMICAL CORP;S/M;POLIPROPILENO HOMOPOLIMERO S/M S/M POLIPROPILENO HOMOPOLIMERO USO INDUSTRIAL POLYPROPYLENE HOMOPOLYMER H4540 POLIPROPILENO HOMOPOLIMERO;POLIPROPILENO HOMOPOLIMERO S/M S/M POLIPROPILENO HOMOPOLIMERO USO INDUSTRIAL POLYPROPYLENE HOMOPOLYMER H4540 POLIPROPILENO HOMOPOLIMERO
118-148554;0001;22/04/2022;2022;ALUSUD PERU S.A.;4  20195011169;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;00973-22;1045361540;SAN VICENTE;Chile;Chile;76500;KG;76500;KILOGRAMO;0;No disponible;123315;1.61;137837.7;1.8;14385;76500;77760;PETROQUIM SA;PETROQUIM;POLIPROPILENO HOMOPOLIMERO, PETROQUIM, S/M  MATERIA PRIMA PARA LA ELABORACION DE TAPAS PLASTICAS POLIPROPILENO HOMOPOLIMERO PH0242-P1500 SANITIZADO;POLIPROPILENO HOMOPOLIMERO, PETROQUIM, S/M  MATERIA PRIMA PARA LA ELABORACION DE TAPAS PLASTICAS POLIPROPILENO HOMOPOLIMERO PH0242-P1500 SANITIZADO
118-148584;0001;22/04/2022;2022;DISPERCOL S A;4  20100064490;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;00973-22;7025-0464-203.015;SAN VICENTE;Chile;Chile;25500;KG;25500;KILOGRAMO;0;No disponible;39905;1.56;44706.71;1.75;4795;25500;25900;PETROQUIM SA;PETROQUIM;RESINA PLASTICA, PETROQUIM, S/M BOLSAS DE 25 KG USO INDUSTRIAL POLIPROPILENO PH0953;RESINA PLASTICA, PETROQUIM, S/M BOLSAS DE 25 KG USO INDUSTRIAL POLIPROPILENO PH0953
118-148604;0001;22/04/2022;2022;FABRICA MARSAR SRL;4  20109022668;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;00884-22;SUDU62SSZ020012X;SANTOS;Brasil;Brasil;24.75;TM;24750;KILOGRAMO;0;No disponible;40422.05;1633.21;45784.46;1849.88;5294.18;24750;25820;BRASKEM SA AVENIDA WAGNER SAMARA;BRASKEM;POLIPROPILENO HOMOPOLIMERO, BRASKEM, S/M H 216 PL14 PARA USO INDUSTRIAL POLIPROPILENO HOMOPOLIMERO H 216;POLIPROPILENO HOMOPOLIMERO, BRASKEM, S/M H 216 PL14 PARA USO INDUSTRIAL POLIPROPILENO HOMOPOLIMERO H 216
118-148636;0001;22/04/2022;2022;DISPERCOL S A;4  20100064490;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;00973-22;CLSCL0000004021;SAN VICENTE;Chile;Chile;51000;KG;51000;KILOGRAMO;0;No disponible;83015;1.63;92728.91;1.82;9700;51000;51995;PETROQUIM SA;PETROQUIM;RESINA PLASTICA, PETROQUIM, S/M BOLSAS DE 25 KG USO INDUSTRIAL POLIPROPILENO PH2615;RESINA PLASTICA, PETROQUIM, S/M BOLSAS DE 25 KG USO INDUSTRIAL POLIPROPILENO PH2615
118-148636;0002;22/04/2022;2022;DISPERCOL S A;4  20100064490;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;00973-22;CLSCL0000004021;SAN VICENTE;Chile;Chile;25500;KG;25500;KILOGRAMO;0;No disponible;41507.5;1.63;46364.45;1.82;4850;25500;25997.5;PETROQUIM SA;PETROQUIM;RESINA PLASTICA, PETROQUIM, S/M BOLSAS DE 25 KG USO INDUSTRIAL POLIPROPILENO PH1310;RESINA PLASTICA, PETROQUIM, S/M BOLSAS DE 25 KG USO INDUSTRIAL POLIPROPILENO PH1310
118-148636;0003;22/04/2022;2022;DISPERCOL S A;4  20100064490;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;00973-22;CLSCL0000004021;SAN VICENTE;Chile;Chile;25500;KG;25500;KILOGRAMO;0;No disponible;41507.5;1.63;46364.45;1.82;4850;25500;25997.5;PETROQUIM SA;PETROQUIM;RESINA PLASTICA, PETROQUIM, S/M BOLSAS DE 25 KG USO INDUSTRIAL POLIPROPIELNO PH6010;RESINA PLASTICA, PETROQUIM, S/M BOLSAS DE 25 KG USO INDUSTRIAL POLIPROPIELNO PH6010
118-148643;0001;22/04/2022;2022;INVERSIONES SAN GABRIEL S A;4  20100403294;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;TERMINALES PORTUARIOS PER;00760-22;EGLV003200462186;KAOHSIUNG;Taiw醤;Estados Unidos;100000;KG;100000;KILOGRAMO;0;No disponible;135902.5;1.36;173291.7;1.73;37200;100000;100390;ICD AMERICA LLC;S/M;POLIPROPILENO HOMOPOLIMERO. S/M. T1002 EN 4000 BAG DE 25 KG/NETO PARA USO INDUSTRIAL POLIPROPILENO HOMOPOLIMERO PP T1002;POLIPROPILENO HOMOPOLIMERO. S/M. T1002 EN 4000 BAG DE 25 KG/NETO PARA USO INDUSTRIAL POLIPROPILENO HOMOPOLIMERO PP T1002
118-149353;0001;23/04/2022;2022;MARES IMPORT S.A.C.;4  20101320023;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;00973-22;CLSCL0000004020;SAN VICENTE;Chile;Chile;51000;KG;51000;KILOGRAMO;0;No disponible;78530;1.54;88371.17;1.73;9700;51000;52150;PETROQUIM SA;PETROQUIM;POLIPROPILENO HOMOPOLIMERO. PETROQUIM. S/M PH0953 - P1500 SANITIZADO USO:INDUSTRIAL POLIPROPILENO HOMOPOLIMERO;POLIPROPILENO HOMOPOLIMERO. PETROQUIM. S/M PH0953 - P1500 SANITIZADO USO:INDUSTRIAL POLIPROPILENO HOMOPOLIMERO
118-149469;0001;23/04/2022;2022;POLINPLAST S.A.C.;4  20505520638;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;MAERSK LINE PERU S.A.C.;00890-22;MAEUR04585184;BUENAVENTURA;Arabia Saudi;Estados Unidos;24;TM;24000;KILOGRAMO;0;No disponible;37953;1581.38;38970.54;1623.77;967;24000;24450;SABIC AMERICAS INC.C O SAUDI BASIC INDUSTRIES CORP;SABIC;POLIPROPILENO, SABIC, S/M PP 5707N EN BOLSAS DE 25KG POLIPROPILENO;POLIPROPILENO, SABIC, S/M PP 5707N EN BOLSAS DE 25KG POLIPROPILENO
118-149470;0001;23/04/2022;2022;PLASTICOS FENIX EIRL;4  20522086704;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;00908-22;CNCM2203005;KRZZA;Corea del Sur;Estados Unidos;110;TM;110000;KILOGRAMO;0;No disponible;153000;1390.91;209209;1901.9;56000;110000;110440;POLYMER CHEMICAL CORP;S/M;POLIPROPILENO HOMOPOLIMERO S/M S/M POLIPROPILENO HOMOPOLIMERO USO:INDUSTRIAL H4540 POLYPROPYLENE HOMOPOLYMER;POLIPROPILENO HOMOPOLIMERO S/M S/M POLIPROPILENO HOMOPOLIMERO USO:INDUSTRIAL H4540 POLYPROPYLENE HOMOPOLYMER
118-149504;0001;23/04/2022;2022;POLIMIQ DEL PERU S.A.C.;4  20500269732;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;MAERSK LINE PERU S.A.C.;00842-22;MAEUR04556307;BUENAVENTURA;Arabia Saudi;Estados Unidos;66;TM;66000;KILOGRAMO;0;No disponible;105708.86;1601.65;109125.68;1653.42;3286.14;66000;67390;SABIC AMERICAS INC.C O SAUDI BASIC INDUSTRIES CORP;SABIC;POLIPROPILENO. SABIC. S/M SALES REF. 4108833/0010 GRADO: PP 506P PP 506P 148 2640 BOLSAS DE 25 KG;POLIPROPILENO. SABIC. S/M SALES REF. 4108833/0010 GRADO: PP 506P PP 506P 148 2640 BOLSAS DE 25 KG
118-149513;0001;23/04/2022;2022;INDUSTRIAS  PLASTICAS ASS S.A.C.;4  20515761013;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;00973-22;CLSCL0000004024;SAN VICENTE;Chile;Uruguay;51000;KG;51000;KILOGRAMO;0;No disponible;88730;1.74;98592.37;1.93;9700;51000;52270;PETROQUIM SA;PETROQUIM;POLIPROPILENO INYECCION PETROQUIM PH2615 PP PETROQUIM PH2615 / CODIGO: 103749 / LOTE: L-814 PARA USO INDUSTRIAL PRESENTACION: 2040 BAGS CONTENIENDO 25 KG C/U POLIPROPILENO INYECCION;POLIPROPILENO INYECCION PETROQUIM PH2615 PP PETROQUIM PH2615 / CODIGO: 103749 / LOTE: L-814 PARA USO INDUSTRIAL PRESENTACION: 2040 BAGS CONTENIENDO 25 KG C/U POLIPROPILENO INYECCION
118-149555;0001;23/04/2022;2022;INDUSTRIAS EUROPEAS S.A.C.;4  20463969877;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;00973-22;7025-0464-204.011;SAN VICENTE;Chile;Uruguay;25500;KG;25500;KILOGRAMO;0;No disponible;44420;1.74;49296.2;1.93;4795;25500;25990;PETROQUIM SA;PETROQUIM;POLIPROPILENO INYECCION PETROQUIM PH2615 PP PETROQUIM PH2615  / CODIGO: 103749 / LOTE: L-814 PARA USO INDUSTRIAL PRESENTACION: 1020 BAGS CONTENIENDO 25 KG C/U POLIPROPILENO INYECCION;POLIPROPILENO INYECCION PETROQUIM PH2615 PP PETROQUIM PH2615  / CODIGO: 103749 / LOTE: L-814 PARA USO INDUSTRIAL PRESENTACION: 1020 BAGS CONTENIENDO 25 KG C/U POLIPROPILENO INYECCION
118-149681;0001;23/04/2022;2022;IBEROPLAST S.A.C.;4  20602536522;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;00973-22;7025-0464-203.018;SAN VICENTE;Chile;Chile;25500;KG;25500;KILOGRAMO;0;No disponible;41105;1.61;45953.24;1.8;4795;25500;25900;PETROQUIM SA;PETROQUIM;POLIPROPILENO HOMOPOLIMERO PETROQUIM S/M CAS:9003-07-0 INDUSTRIAL KILOS POLIPROPILENO HOMOPOLIMERO - PH4040 SANITIZADO;POLIPROPILENO HOMOPOLIMERO PETROQUIM S/M CAS:9003-07-0 INDUSTRIAL KILOS POLIPROPILENO HOMOPOLIMERO - PH4040 SANITIZADO
118-150277;0001;25/04/2022;2022;PLASTINDUSTRIA SOCIEDAD ANONIMA CERRADA;4  20518433637;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;00973-22;CLSCL0000004022;SAN VICENTE;Chile;Chile;25500;KG;25500;KILOGRAMO;0;No disponible;39850;1.56;44749.09;1.75;4850;25500;25860;PETROQUIM SA;PETROQUIM;HOMOPOLIMERO PETROQUIM S/M DE POLIPROPILENO HOMOPOLIMERO PARA INDUSTRIA PLASTICA GRADO PH 0130 SANITIZADO EN BOLSAS DE 25 KG;HOMOPOLIMERO PETROQUIM S/M DE POLIPROPILENO HOMOPOLIMERO PARA INDUSTRIA PLASTICA GRADO PH 0130 SANITIZADO EN BOLSAS DE 25 KG
118-150419;0001;25/04/2022;2022;MASTERCOL S.A.;4  20512217533;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;TERMINALES PORTUARIOS PER;00760-22;EGLV003200332932;TAICHUNG;Taiw醤;Estados Unidos;50000;KG;50000;KILOGRAMO;0;No disponible;68560;1.37;87221.01;1.74;18600;50000;50090;ICD AMERICA LLC;TAIRIPRO;POLIPROPILENO, TAIRIPRO, S/M EN BOLSAS DE 25 KGS PARA USO INDUSTRIAL POLIPROPILENO HOMOPOLIMERO;POLIPROPILENO, TAIRIPRO, S/M EN BOLSAS DE 25 KGS PARA USO INDUSTRIAL POLIPROPILENO HOMOPOLIMERO
118-150690;0002;25/04/2022;2022;ESENTTIA RESINAS DEL PERU S.A.C;4  20601762073;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;MAERSK LINE PERU S.A.C.;00950-22;SUDU22159AZK62XC;CARTAGENA;Colombia;Colombia;108000;KG;108000;KILOGRAMO;0;No disponible;196315.33;1.82;206314.84;1.91;9948;108000;110205.71;ESENTTIA SA INDUSTRIAL VIA MAMOMA;S/M;HOMOPOLIMERO. S/M. 05H82-AV BOLSAS DE 25 KILOS USO INDUSTRIAL HOMOPOLIMERO 05H82-AV;HOMOPOLIMERO. S/M. 05H82-AV BOLSAS DE 25 KILOS USO INDUSTRIAL HOMOPOLIMERO 05H82-AV
118-150690;0003;25/04/2022;2022;ESENTTIA RESINAS DEL PERU S.A.C;4  20601762073;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;MAERSK LINE PERU S.A.C.;00950-22;SUDU22159AZK62XC;CARTAGENA;Colombia;Colombia;27000;KG;27000;KILOGRAMO;0;No disponible;49618.78;1.84;52118.8;1.93;2487;27000;27551.42;ESENTTIA SA INDUSTRIAL VIA MAMOMA;ESENTTIA;HOMOPOLIMERO. ESENTTIA. 40H92 BOLSAS DE 25 KILOS USO INDUSTRIAL HOMOPOLIMERO 40H92;HOMOPOLIMERO. ESENTTIA. 40H92 BOLSAS DE 25 KILOS USO INDUSTRIAL HOMOPOLIMERO 40H92
118-150704;0001;25/04/2022;2022;SAPISCO COMERCIAL S.A.C.;4  20552691734;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;00988-22;HLCUTS12203ATSN0;CNZZA;China;Francia;168;TM;168000;KILOGRAMO;0;No disponible;254575.74;1515.33;290481.84;1729.06;35674.26;168000;169855;HONGKONG TOPWAY TRADING CO. LTD;SHENHUA;POLIPROPILENO. SHENHUA. L5E89 EN 6720 BOLSAS DE 25 KG CADA UNO  POLYPROPYLENE HOMOPOLYMER L5E89;POLIPROPILENO. SHENHUA. L5E89 EN 6720 BOLSAS DE 25 KG CADA UNO  POLYPROPYLENE HOMOPOLYMER L5E89
118-151510;0001;26/04/2022;2022;OPP FILM S.A.;4  20502351908;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;AGENCIAS UNIVERSALES PERU;00907-22;3012CS315;CNCGU;China;Singapur;985.6;TM;972300;KILOGRAMO;0;No disponible;1163807.18;1180.81;1424492.81;1445.31;259464.66;972300;972300;ZHEJIANG MINGRI HOLDINGS GROUP CO., LTD.;S/M;POLIPROPILENO, S/M, S/M AS PER PURCHASE ORDER NO: IMP2021-1008 COMERCIALIZADO EN TONELADAS POLYPROPYLENE PPH-T035 / L5E89;POLIPROPILENO, S/M, S/M AS PER PURCHASE ORDER NO: IMP2021-1008 COMERCIALIZADO EN TONELADAS POLYPROPYLENE PPH-T035 / L5E89
